model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	4.5754489	0	14	2.3	-0.006655534	-3.3502828	-4.1133163	-0.10235806	-4.113222	-0.1023468	0.14108001	-3.7537133	9.68	-0.0001012231	7.5002141e-06	0.011771903	-0.16264369	0.011773954	-0.16264057	1.0013529e-05	-2.0059213e-06	-0.11240159	-1.1061747	1.7476608	0.057892245	-1.7476438	-0.057886658	0.22749261	-2.3061557	2.1	1	0.2	0.014944047	1.2616748	1.6232482	-0.57702297	-0.17996495	0.075054427	0.13286514	0.22328417	1.9435328	1.8129628	1.5895992	1.8129636	1.589563	0.01635088	1.5799543	1.1067318	0.0012267946	4.0346355e-06	0.10029878	1.1126728	0.10029109	1.112766	-8.3073034e-05	-1.504432e-05	1.1223499	0.71594806	-1.5332836	-0.61372149	1.5332577	0.61370556	-0.28290523	2.4861338	0.028767242	0.20370457	0.055115051	0.17204346	0.34367566	0.17204236	0.34369619	0.01644145	0.33349266	0.035971659	3.9095669	5.4215332	5.1415007	5.0574868	5.1415093	5.0575177	4.3430231	6.0553592	5.2745865	2.7227311	3.3812171	5.0607481	3.3811484	5.0608312	3.7088256	3.2330264	-75.59905	R0:S0:1	-59.04	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 1.56e+02	 1.00e+06	2022-07-29@11:04
2x2_2C_8b_C2v_L	4.9670594	0	14	2.4240111	-0.0039804061	-3.3003416	-4.0524887	-0.109373	-4.0524678	-0.10937391	0.15007481	-3.6903516	9.7044444	-4.9418308e-05	1.7279108e-06	0.011978786	-0.16839688	0.011979018	-0.16839734	2.629096e-06	6.98755e-06	-0.11376507	-1.1016356	1.7409262	0.056213331	-1.740922	-0.05621457	0.23508921	-2.2991991	2.0926889	1	0.204	0.015083655	1.2592071	1.6206161	-0.58598642	-0.18614038	0.077363445	0.13405921	0.23231852	1.9419299	1.8065709	1.5807931	1.8065715	1.5807901	0.016980599	1.5665574	1.1067814	0.0005537389	5.6217786e-06	0.10609479	1.1412771	0.10609551	1.1413016	-2.7562068e-05	-1.6113069e-05	1.1491604	0.72202244	-1.5555933	-0.61895754	1.5555833	0.61896208	-0.28859313	2.5188799	0.028984693	0.21093486	0.056611608	0.17727388	0.34983023	0.17727329	0.34982894	0.017092282	0.34043926	0.036547312	3.9524168	5.4252002	5.1552242	5.0471135	5.1552276	5.0471211	4.3441238	6.1125482	5.2693905	2.7135815	3.3698265	5.0901507	3.369806	5.0901618	3.7101389	3.1942958	-75.285151	R0:S0:1	-58.243467	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.60e+02	 6.45e-03	2022-07-29@11:56
2x2_2C_8b_C2v_L	5.3532165	0	14	2.5480222	-0.00029720368	-3.2319865	-3.9917799	-0.11558782	-3.9917793	-0.11558883	0.15764919	-3.6272559	9.7288889	-9.5409583e-06	-8.2663937e-06	0.011897411	-0.17472251	0.011893803	-0.17472247	4.1221646e-06	-1.4587844e-06	-0.11520964	-1.094105	1.7337739	0.053528239	-1.7337734	-0.053521025	0.24319457	-2.2917877	2.0853778	1	0.208	0.015119236	1.256614	1.617742	-0.59536247	-0.19250859	0.079756343	0.13524507	0.24232224	1.9400965	1.7999399	1.5675589	1.7999413	1.5675536	0.01777928	1.5527957	1.1067994	9.8099844e-05	1.9025372e-05	0.11159769	1.1735622	0.11160124	1.1735962	-2.5928981e-05	-5.8216035e-06	1.1758729	0.72878187	-1.5784507	-0.62088441	1.5784403	0.62085462	-0.29529881	2.5519021	0.029199775	0.21852502	0.05831659	0.18263836	0.3592096	0.18263716	0.35921225	0.017916399	0.34731764	0.037127277	4.0007044	5.4274498	5.1682925	5.0366646	5.168291	5.036651	4.3449865	6.1705636	5.2658056	2.704271	3.3566281	5.1288209	3.3566117	5.1288535	3.7118878	3.1535625	-74.930639	R0:S0:1	-57.446933	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.64e+02	 4.75e-03	2022-07-29@12:34
2x2_2C_8b_C2v_L	5.7372178	0	14	2.6720333	0.0028623803	-3.1793911	-3.9320532	-0.1218644	-3.9320552	-0.12186304	0.16413555	-3.5600986	9.7533333	-1.1762624e-05	2.3074799e-05	0.01170622	-0.1808935	0.011699226	-0.18089575	-2.137177e-06	1.0133742e-06	-0.1168031	-1.088813	1.7268384	0.050417425	-1.7268424	-0.050401983	0.25060883	-2.2831046	2.0780667	1	0.212	0.014978955	1.253968	1.614816	-0.60475285	-0.19894132	0.08216875	0.13642171	0.25380062	1.9381979	1.7932247	1.5548941	1.7932272	1.5548868	0.018535079	1.5387107	1.1068483	0.00011575431	-5.8410534e-05	0.11697482	1.2039958	0.11699157	1.2040517	1.9119145e-05	1.2470947e-05	1.2036975	0.73633429	-1.6012523	-0.61993037	1.6012385	0.61985104	-0.30135806	2.5845016	0.029412549	0.22739678	0.060076439	0.18803156	0.36811407	0.18802949	0.36811954	0.01870288	0.3540954	0.037696222	4.056089	5.4279419	5.1823345	5.0252436	5.1823291	5.0252012	4.344116	6.2298132	5.2606402	2.6962812	3.3432027	5.1667444	3.3431866	5.1667976	3.7150048	3.1120058	-74.603889	R0:S0:1	-56.6504	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.67e+02	 3.79e-03	2022-07-29@13:11
2x2_2C_8b_C2v_L	6.1190673	0	14	2.7960444	0.0054287914	-3.1230667	-3.8716433	-0.12809092	-3.8716552	-0.12809163	0.17067006	-3.4955413	9.7777778	-7.7442532e-06	-4.6677316e-06	0.011310253	-0.18683798	0.011310001	-0.18683844	2.5259736e-06	5.7050189e-06	-0.11837823	-1.0828687	1.7198477	0.046926249	-1.7198501	-0.046926242	0.2579821	-2.2752925	2.0707556	1	0.216	0.014669355	1.2512714	1.6118597	-0.61415237	-0.20543552	0.084600531	0.13762756	0.26600701	1.9361564	1.7863315	1.5434009	1.7863318	1.5434036	0.019315549	1.5246009	1.1069594	7.1754503e-05	1.4331952e-05	0.12247364	1.2321243	0.12247454	1.2321281	-1.9315061e-05	-1.2849955e-05	1.2313241	0.74424635	-1.6242851	-0.61608395	1.6242835	0.61608422	-0.30734629	2.6168108	0.029629664	0.23696536	0.061964615	0.19353534	0.37630501	0.19353509	0.37630263	0.019521088	0.36062254	0.038259986	4.1125963	5.428443	5.198158	5.0120817	5.1981576	5.0120785	4.3430606	6.2886889	5.2544518	2.6881882	3.3301171	5.2020084	3.330115	5.2020082	3.7183533	3.069481	-74.273569	R0:S0:1	-55.853867	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.70e+02	 3.17e-03	2022-07-29@13:48
2x2_2C_8b_C2v_L	6.5067236	0	14	2.9200556	0.0085997548	-3.0704507	-3.8126387	-0.13535539	-3.8126351	-0.13535559	0.17739298	-3.4310952	9.8022222	8.0089035e-06	4.1281611e-07	0.010416849	-0.19327598	0.010416346	-0.193276	-9.4529414e-07	-1.2013937e-06	-0.11987468	-1.0774154	1.7130718	0.041501239	-1.7130706	-0.041501289	0.26564663	-2.2672218	2.0634444	1	0.22	0.013960035	1.2487482	1.6090726	-0.62286958	-0.21134739	0.08680932	0.13888221	0.27050941	1.9346344	1.77978	1.5457768	1.7797803	1.5457738	0.019821988	1.5127139	1.1074131	-7.1893677e-05	-7.0279272e-07	0.12677737	1.2470811	0.1267771	1.247089	4.9058971e-06	1.7988424e-06	1.2487499	0.74853603	-1.6463218	-0.59562812	1.6463189	0.59562722	-0.31262519	2.6435303	0.029855408	0.24145599	0.063393785	0.19885379	0.37811526	0.19885346	0.37811624	0.020072057	0.36598135	0.038745805	4.1243175	5.4382364	5.223024	4.9827453	5.2230229	4.9827465	4.3416807	6.3379782	5.2448741	2.678912	3.3278996	5.206899	3.3278948	5.2069087	3.722826	3.032971	-73.95951	R0:S0:1	-55.057333	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.73e+02	 5.44e-03	2022-07-29@14:16
2x2_2C_8b_C2v_L	6.8749512	0	14	3.0440667	0.0094721796	-3.0117163	-3.7492298	-0.14059017	-3.7492278	-0.14058643	0.18224183	-3.3614497	9.8266667	-4.4379345e-05	-8.8158844e-07	0.010065987	-0.19826865	0.010064775	-0.19826827	7.7937018e-06	6.3990131e-06	-0.12149381	-1.071136	1.7056297	0.038686874	-1.7056299	-0.038677587	0.2717714	-2.2582787	2.0561333	1	0.224	0.013332757	1.2456968	1.6057659	-0.63310063	-0.21864942	0.089531662	0.14008566	0.29209281	1.9316873	1.7718827	1.5241316	1.7718838	1.5241335	0.020853601	1.4957387	1.107333	0.00040257665	2.3494555e-07	0.13295362	1.2813974	0.13296013	1.281414	-4.1185048e-05	-1.098232e-05	1.2852114	0.76144034	-1.6715537	-0.59891125	1.6715479	0.59886658	-0.31851476	2.6804514	0.030069849	0.25780678	0.066086406	0.20496745	0.3907038	0.20496663	0.39070552	0.021157525	0.37315801	0.039367362	4.2274202	5.4289817	5.2357005	4.9811601	5.2356999	4.981132	4.3382025	6.4074759	5.2375907	2.6730419	3.3055978	5.2659369	3.3055954	5.2659475	3.7275996	2.981716	-73.600087	R0:S0:1	-54.2608	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.76e+02	 2.11e-03	2022-07-29@14:52
2x2_2C_8b_C2v_L	7.2589243	0	14	3.1680778	0.011460636	-2.9608611	-3.6908847	-0.14788198	-3.6909056	-0.14788137	0.18885688	-3.2969044	9.8511111	-8.5883926e-06	4.7659822e-07	0.0089331096	-0.20408149	0.0089314118	-0.20408263	1.6573573e-06	3.5433074e-06	-0.12293899	-1.0659499	1.6991823	0.033021745	-1.699185	-0.033019856	0.27877761	-2.2505958	2.0488222	1	0.228	0.012135433	1.2430798	1.6030246	-0.6416979	-0.22472989	0.091766655	0.14139585	0.2954336	1.9300796	1.7647062	1.5313247	1.7647091	1.5313202	0.021197183	1.4835501	1.1078927	7.5396167e-05	-3.1796291e-07	0.13654902	1.2888814	0.13655099	1.2889113	-1.0067538e-05	-5.6158225e-06	1.3010667	0.76546086	-1.6951878	-0.57397177	1.6951746	0.57395419	-0.32280937	2.7066658	0.030303867	0.26214109	0.067596823	0.21073478	0.38992251	0.21073242	0.38992295	0.021555119	0.37820126	0.039848664	4.2288579	5.4411239	5.2663574	4.9515269	5.2663477	4.9515159	4.3354697	6.4563091	5.2230581	2.6635409	3.3060974	5.2627744	3.3060855	5.2628068	3.7331312	2.9432138	-73.295662	R0:S0:1	-53.464267	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.78e+02	 6.19e-03	2022-07-29@15:21
2x2_2C_8b_C2v_L	7.6273102	0	14	3.2920889	0.012168668	-2.8992672	-3.6264186	-0.1533178	-3.6264099	-0.15331705	0.19297632	-3.2271788	9.8755556	1.2338984e-05	1.8830955e-07	0.0078260205	-0.2093293	0.0078317414	-0.20932798	-1.0922111e-05	-2.8656187e-06	-0.12443213	-1.0590713	1.6914589	0.027584583	-1.6914563	-0.027596063	0.28497208	-2.2413973	2.0415111	1	0.232	0.010512543	1.2400566	1.5997634	-0.65151538	-0.23175911	0.094375872	0.14265083	0.31298212	1.9272291	1.7565158	1.5204428	1.7565119	1.5204528	0.022173727	1.4678759	1.1080951	-0.0001082082	-1.3685264e-06	0.14059869	1.3118067	0.14058814	1.3117422	6.1099074e-05	1.2241531e-05	1.3284233	0.77652496	-1.7208817	-0.55678009	1.7209039	0.55684135	-0.32857884	2.7392111	0.03052618	0.27670577	0.070212431	0.21707757	0.39801351	0.21708073	0.39800984	0.022609236	0.3842843	0.040411446	4.2994158	5.4387773	5.2893136	4.9363675	5.2893268	4.9364037	4.3309265	6.5187323	5.2116554	2.6574719	3.2923085	5.3014372	3.2923354	5.3013692	3.7397692	2.8949209	-72.926585	R0:S0:1	-52.667733	uncorrelated	b7fd39a	v1.0.3	4	sharp_wc_2.0_b_50	 1.80e+02	 1.67e-03	2022-07-29@15:56
2x2_2C_8b_C2v_L	8.0022807	0	14	3.4161	0.012278827	-2.8394748	-3.5641965	-0.15954968	-3.5641874	-0.15955112	0.19880665	-3.159897	9.9	-1.0531965e-05	-1.2197281e-06	0.0064702402	-0.2141093	0.0064705458	-0.21410994	-1.7667218e-06	-2.5637019e-06	-0.12589531	-1.05263	1.6846831	0.021800321	-1.6846808	-0.021801293	0.29078677	-2.2337263	2.0342	1	0.236	0.0084601073	1.2371935	1.5969988	-0.66036982	-0.23846931	0.096796408	0.14401723	0.3194865	1.9250203	1.7477515	1.5262992	1.7477513	1.5263035	0.022480408	1.4535459	1.1085738	9.6068061e-05	-5.2761391e-07	0.14280238	1.3172301	0.14280202	1.31722	1.2825263e-05	6.2418393e-06	1.3474708	0.7825589	-1.7488263	-0.52869862	1.7488275	0.52870251	-0.3319233	2.7687427	0.030768141	0.28415516	0.072267619	0.22395771	0.39764757	0.22395793	0.39764559	0.022981218	0.38962752	0.040943768	4.3107431	5.4495645	5.3254467	4.9118746	5.3254499	4.911876	4.3265413	6.5738945	5.1909808	2.6481242	3.2907065	5.3061725	3.2907121	5.3061565	3.746223	2.8489395	-72.583171	R0:S0:1	-51.8712	uncorrelated	b7fd39a	v1.0.3	3	sharp_wc_2.0_b_50	 1.81e+02	 8.81e-03	2022-07-29@16:25
